forward add_edges KSP-4 0 61261740.57966001 [(2, 3)]
forward add_edges KSP-4 0 86870586.60932 []
forward add_edges KSP-4 0 63003145.62520498 [(1, 4)]
forward add_edges KSP-4 0 64718344.38261003 [(6, 11)]
forward add_edges KSP-4 0 73650099.390405 [(4, 9)]
forward add_edges KSP-4 0 51711484.804889984 [(6, 9)]
forward add_edges KSP-4 0 78559632.60380499 [(8, 12)]
forward add_edges KSP-4 0 72141357.69743998 [(6, 10)]
forward add_edges KSP-4 0 34024084.614305 [(5, 12)]
forward add_edges KSP-4 0 88782582.1208 [(8, 9)]
forward add_edges KSP-4 0 49763458.32759988 [(7, 12)]
forward add_edges KSP-4 0 69346169.05801514 [(3, 11)]
forward add_edges KSP-4 0 48815509.86907744 [(2, 10)]
forward add_edges KSP-4 0 91661715.94261499 [(3, 7)]
forward add_edges KSP-4 0 58642504.696575 [(7, 10)]
forward add_edges KSP-4 0 45324989.419824995 [(5, 11)]
forward add_edges KSP-4 0 121574117.83895998 [(1, 7)]
forward add_edges KSP-4 0 78537205.33364998 [(4, 12)]
forward add_edges KSP-4 0 95142712.70706499 [(4, 6)]
forward add_edges KSP-4 0 49497131.674825005 [(1, 10)]
forward add_edges KSP-4 0 56483231.768455006 [(2, 7)]
forward add_edges KSP-4 0 56990815.49973999 [(3, 12)]
forward add_edges KSP-4 0 88123739.88452 [(3, 5)]
forward add_edges KSP-4 0 39190994.5624025 [(2, 12)]
forward add_edges KSP-4 0 60423416.503259875 [(5, 7)]
forward add_edges KSP-4 0 58809976.17400498 [(6, 12)]
forward add_edges KSP-4 0 70025984.37378 [(1, 8)]
forward add_edges KSP-4 0 53539765.666930005 [(2, 8)]
